"Lek","ALL",8,100
"Algerian Dinar","DZD",12,100
"Argentine Peso","ARS",32,100
"Australian Dollar","AUD",36,100
"Bahamian Dollar","BSD",44,100
"Bahraini Dinar","BHD",48,1000
"Taka","BDT",50,100
"Armenian Dram","AMD",51,100
"Barbados Dollar","BBD",52,100
"Bermudian Dollar","BMD",60,100
"Ngultrum","BTN",64,100
"Boliviano","BOB",68,100
"Pula","BWP",72,100
"Belize Dollar","BZD",84,100
"Solomon Islands Dollar","SBD",90,100
"Brunei Dollar","BND",96,100
"Kyat","MMK",104,100
"Burundi Franc","BIF",108,100
"Riel","KHR",116,100
"Canadian Dollar","CAD",124,100
"Cape Verde Escudo","CVE",132,100
"Cayman Islands Dollar","KYD",136,100
"Sri Lanka Rupee","LKR",144,100
"Chilean Peso","CLP",152,100
"Yuan Renminbi","CNY",156,100
"Colombian Peso","COP",170,100
"Comoro Franc","KMF",174,100
"Costa Rican Colon","CRC",188,100
"Croatian Kuna","HRK",191,100
"Cuban Peso","CUP",192,100
"Czech Koruna","CZK",203,100
"Danish Krone","DKK",208,100
"Dominican Peso","DOP",214,100
"El Salvador Colon","SVC",222,100
"Ethiopian Birr","ETB",230,100
"Nakfa","ERN",232,100
"Kroon","EEK",233,100
"Falkland Islands Pound","FKP",238,100
"Fiji Dollar","FJD",242,100
"Djibouti Franc","DJF",262,100
"Dalasi","GMD",270,100
"Gibraltar Pound","GIP",292,100
"Quetzal","GTQ",320,100
"Guinea Franc","GNF",324,100
"Guyana Dollar","GYD",328,100
"Gourde","HTG",332,100
"Lempira","HNL",340,100
"Hong Kong Dollar","HKD",344,100
"Forint","HUF",348,100
"Iceland Krona","ISK",352,100
"Indian Rupee","INR",356,100
"Rupiah","IDR",360,100
"Iranian Rial","IRR",364,100
"Iraqi Dinar","IQD",368,1000
"New Israeli Sheqel","ILS",376,100
"Jamaican Dollar","JMD",388,100
"Yen","JPY",392,100
"Tenge","KZT",398,100
"Jordanian Dinar","JOD",400,100
"Kenyan Shilling","KES",404,100
"North Korean Won","KPW",408,100
"Won","KRW",410,100
"Kuwaiti Dinar","KWD",414,1000
"Som","KGS",417,100
"Kip","LAK",418,100
"Lebanese Pound","LBP",422,100
"Loti","LSL",426,100
"Latvian Lats","LVL",428,100
"Liberian Dollar","LRD",430,100
"Libyan Dinar","LYD",434,1000
"Lithuanian Litas","LTL",440,100
"Pataca","MOP",446,100
"Kwacha","MWK",454,100
"Malaysian Ringgit","MYR",458,100
"Rufiyaa","MVR",462,100
"Ouguiya","MRO",478,5
"Mauritius Rupee","MUR",480,100
"Mexican Peso","MXN",484,100
"Tugrik","MNT",496,100
"Moldovan Leu","MDL",498,100
"Moroccan Dirham","MAD",504,100
"Rial Omani","OMR",512,1000
"Namibia Dollar","NAD",516,100
"Nepalese Rupee","NPR",524,100
"Netherlands Antillian Guilder","ANG",532,100
"Aruban Guilder","AWG",533,100
"Vatu","VUV",548,1
"New Zealand Dollar","NZD",554,100
"Cordoba Oro","NIO",558,100
"Naira","NGN",566,100
"Norwegian Krone","NOK",578,100
"Pakistan Rupee","PKR",586,100
"Balboa","PAB",590,100
"Kina","PGK",598,100
"Guarani","PYG",600,100
"Nuevo Sol","PEN",604,100
"Philippine Peso","PHP",608,100
"Guinea-Bissau Peso","GWP",624,100
"Qatari Rial","QAR",634,100
"Russian Ruble","RUB",643,100
"Rwanda Franc","RWF",646,100
"Saint Helena Pound","SHP",654,100
"Dobra","STD",678,100
"Saudi Riyal","SAR",682,100
"Seychelles Rupee","SCR",690,100
"Leone","SLL",694,100
"Singapore Dollar","SGD",702,100
"Dong","VND",704,10
"Somali Shilling","SOS",706,100
"Rand","ZAR",710,100
"Lilangeni","SZL",748,100
"Swedish Krona","SEK",752,100
"Swiss Franc","CHF",756,100
"Syrian Pound","SYP",760,100
"Baht","THB",764,100
"Pa'anga","TOP",776,100
"Trinidad and Tobago Dollar","TTD",780,100
"UAE Dirham","AED",784,100
"Tunisian Dinar","TND",788,1000
"Uganda Shilling","UGX",800,100
"Denar","MKD",807,100
"Egyptian Pound","EGP",818,100
"Pound Sterling","GBP",826,100
"Tanzanian Shilling","TZS",834,100
"US Dollar","USD",840,100
"Peso Uruguayo","UYU",858,100
"Uzbekistan Sum","UZS",860,100
"Tala","WST",882,100
"Yemeni Rial","YER",886,100
"Zambian Kwacha","ZMK",894,100
"New Taiwan Dollar","TWD",901,100
"Peso Convertible","CUC",931,100
"Zimbabwe Dollar","ZWL",932,100
"Manat","TMT",934,100
"Cedi","GHS",936,100
"Bolivar Fuerte","VEF",937,100
"Sudanese Pound","SDG",938,100
"Serbian Dinar","RSD",941,100
"Metical","MZN",943,100
"Azerbaijanian Manat","AZN",944,100
"New Leu","RON",946,100
"Turkish Lira","TRY",949,100
"CFA Franc BEAC","XAF",950,100
"East Caribbean Dollar","XCD",951,100
"CFA Franc BCEAO","XOF",952,100
"CFP Franc","XPF",953,100
"Surinam Dollar","SRD",968,100
"Malagasy Ariary","MGA",969,5
"Afghani","AFN",971,100
"Somoni","TJS",972,100
"Kwanza","AOA",973,100
"Belarussian Ruble","BYR",974,100
"Bulgarian Lev","BGN",975,100
"Congolese Franc","CDF",976,100
"Convertible Marks","BAM",977,100
"Euro","EUR",978,100
"Mexican Unidad de Inversion (UDI)","MXV",979,1
"Hryvnia","UAH",980,100
"Lari","GEL",981,100
"Zloty","PLN",985,100
"Brazilian Real","BRL",986,100
"Unidades de fomento","CLF",990,1
